2025-12-17 02:39:35.716 [info] [CursorProclistService] Sample 53 created: 26 processes, 31 subsamples
2025-12-17 02:44:35.696 [info] [CursorProclistService] Sample 54 created: 26 processes, 31 subsamples
2025-12-17 02:49:35.716 [info] [CursorProclistService] Sample 55 created: 26 processes, 31 subsamples
2025-12-17 02:54:35.697 [info] [CursorProclistService] Sample 56 created: 26 processes, 31 subsamples
2025-12-17 02:59:35.716 [info] [CursorProclistService] Sample 57 created: 26 processes, 31 subsamples
2025-12-17 03:04:35.696 [info] [CursorProclistService] Sample 58 created: 26 processes, 31 subsamples
2025-12-17 03:09:35.696 [info] [CursorProclistService] Sample 59 created: 26 processes, 31 subsamples
2025-12-17 03:14:35.696 [info] [CursorProclistService] Sample 60 created: 26 processes, 31 subsamples
2025-12-17 03:19:35.697 [info] [CursorProclistService] Sample 61 created: 26 processes, 31 subsamples
2025-12-17 03:24:35.697 [info] [CursorProclistService] Sample 62 created: 26 processes, 31 subsamples
2025-12-17 03:29:35.696 [info] [CursorProclistService] Sample 63 created: 26 processes, 31 subsamples
2025-12-17 03:34:35.696 [info] [CursorProclistService] Sample 64 created: 26 processes, 31 subsamples
2025-12-17 03:39:35.696 [info] [CursorProclistService] Sample 65 created: 26 processes, 31 subsamples
2025-12-17 03:44:35.696 [info] [CursorProclistService] Sample 66 created: 26 processes, 31 subsamples
2025-12-17 03:49:35.696 [info] [CursorProclistService] Sample 67 created: 26 processes, 31 subsamples
2025-12-17 03:54:35.717 [info] [CursorProclistService] Sample 68 created: 26 processes, 31 subsamples
2025-12-17 03:59:35.696 [info] [CursorProclistService] Sample 69 created: 26 processes, 31 subsamples
2025-12-17 04:04:35.696 [info] [CursorProclistService] Sample 70 created: 26 processes, 31 subsamples
2025-12-17 04:09:35.696 [info] [CursorProclistService] Sample 71 created: 26 processes, 31 subsamples
2025-12-17 04:14:35.717 [info] [CursorProclistService] Sample 72 created: 26 processes, 31 subsamples
2025-12-17 04:19:35.696 [info] [CursorProclistService] Sample 73 created: 26 processes, 31 subsamples
2025-12-17 04:24:35.717 [info] [CursorProclistService] Sample 74 created: 26 processes, 31 subsamples
2025-12-17 04:29:35.696 [info] [CursorProclistService] Sample 75 created: 26 processes, 31 subsamples
2025-12-17 04:34:35.696 [info] [CursorProclistService] Sample 76 created: 26 processes, 31 subsamples
2025-12-17 04:39:35.697 [info] [CursorProclistService] Sample 77 created: 26 processes, 31 subsamples
2025-12-17 04:44:35.717 [info] [CursorProclistService] Sample 78 created: 26 processes, 31 subsamples
2025-12-17 04:49:35.696 [info] [CursorProclistService] Sample 79 created: 26 processes, 31 subsamples
2025-12-17 04:54:35.697 [info] [CursorProclistService] Sample 80 created: 26 processes, 31 subsamples
2025-12-17 04:59:35.696 [info] [CursorProclistService] Sample 81 created: 26 processes, 31 subsamples
2025-12-17 05:04:35.696 [info] [CursorProclistService] Sample 82 created: 26 processes, 31 subsamples
2025-12-17 05:09:35.696 [info] [CursorProclistService] Sample 83 created: 26 processes, 31 subsamples
2025-12-17 05:14:35.696 [info] [CursorProclistService] Sample 84 created: 26 processes, 31 subsamples
2025-12-17 05:19:35.696 [info] [CursorProclistService] Sample 85 created: 26 processes, 31 subsamples
2025-12-17 05:24:35.717 [info] [CursorProclistService] Sample 86 created: 26 processes, 31 subsamples
2025-12-17 05:29:35.696 [info] [CursorProclistService] Sample 87 created: 26 processes, 31 subsamples
2025-12-17 05:34:35.696 [info] [CursorProclistService] Sample 88 created: 26 processes, 31 subsamples
2025-12-17 05:39:35.716 [info] [CursorProclistService] Sample 89 created: 26 processes, 31 subsamples
2025-12-17 05:44:35.696 [info] [CursorProclistService] Sample 90 created: 26 processes, 31 subsamples
2025-12-17 05:49:35.716 [info] [CursorProclistService] Sample 91 created: 26 processes, 31 subsamples
2025-12-17 05:54:35.690 [info] [CursorProclistService] Sample 92 created: 26 processes, 31 subsamples
2025-12-17 05:59:35.696 [info] [CursorProclistService] Sample 93 created: 26 processes, 31 subsamples
2025-12-17 06:04:35.697 [info] [CursorProclistService] Sample 94 created: 26 processes, 31 subsamples
2025-12-17 06:09:35.695 [info] [CursorProclistService] Sample 95 created: 26 processes, 31 subsamples
2025-12-17 06:14:35.700 [info] [CursorProclistService] Sample 96 created: 26 processes, 31 subsamples
2025-12-17 06:19:35.695 [info] [CursorProclistService] Sample 97 created: 26 processes, 31 subsamples
2025-12-17 06:24:35.695 [info] [CursorProclistService] Sample 98 created: 26 processes, 31 subsamples
2025-12-17 06:29:35.696 [info] [CursorProclistService] Sample 99 created: 26 processes, 31 subsamples
2025-12-17 06:34:35.697 [info] [CursorProclistService] Sample 100 created: 26 processes, 31 subsamples
2025-12-17 06:39:35.696 [info] [CursorProclistService] Sample 101 created: 26 processes, 31 subsamples
2025-12-17 06:44:35.714 [info] [CursorProclistService] Sample 102 created: 26 processes, 31 subsamples
2025-12-17 06:49:35.695 [info] [CursorProclistService] Sample 103 created: 26 processes, 31 subsamples
2025-12-17 06:54:35.693 [info] [CursorProclistService] Sample 104 created: 26 processes, 31 subsamples
2025-12-17 06:59:35.695 [info] [CursorProclistService] Sample 105 created: 26 processes, 31 subsamples
2025-12-17 07:04:35.714 [info] [CursorProclistService] Sample 106 created: 26 processes, 31 subsamples
2025-12-17 07:09:35.694 [info] [CursorProclistService] Sample 107 created: 26 processes, 31 subsamples
2025-12-17 07:14:35.712 [info] [CursorProclistService] Sample 108 created: 26 processes, 31 subsamples
2025-12-17 07:19:35.693 [info] [CursorProclistService] Sample 109 created: 26 processes, 31 subsamples
2025-12-17 07:24:35.691 [info] [CursorProclistService] Sample 110 created: 26 processes, 31 subsamples
2025-12-17 07:29:35.696 [info] [CursorProclistService] Sample 111 created: 26 processes, 31 subsamples
2025-12-17 07:34:35.696 [info] [CursorProclistService] Sample 112 created: 26 processes, 31 subsamples
2025-12-17 07:39:35.696 [info] [CursorProclistService] Sample 113 created: 26 processes, 31 subsamples
2025-12-17 07:44:35.715 [info] [CursorProclistService] Sample 114 created: 26 processes, 31 subsamples
2025-12-17 07:49:35.713 [info] [CursorProclistService] Sample 115 created: 26 processes, 31 subsamples
2025-12-17 07:54:35.691 [info] [CursorProclistService] Sample 116 created: 26 processes, 31 subsamples
2025-12-17 07:59:35.700 [info] [CursorProclistService] Sample 117 created: 26 processes, 31 subsamples
2025-12-17 08:04:35.691 [info] [CursorProclistService] Sample 118 created: 26 processes, 30 subsamples
2025-12-17 08:09:35.695 [info] [CursorProclistService] Sample 119 created: 26 processes, 31 subsamples
2025-12-17 08:14:35.715 [info] [CursorProclistService] Sample 120 created: 26 processes, 31 subsamples
2025-12-17 08:19:35.695 [info] [CursorProclistService] Sample 121 created: 26 processes, 31 subsamples
2025-12-17 08:24:35.695 [info] [CursorProclistService] Sample 122 created: 26 processes, 31 subsamples
2025-12-17 08:29:35.697 [info] [CursorProclistService] Sample 123 created: 26 processes, 31 subsamples
2025-12-17 08:34:35.696 [info] [CursorProclistService] Sample 124 created: 26 processes, 31 subsamples
2025-12-17 08:39:35.696 [info] [CursorProclistService] Sample 125 created: 26 processes, 31 subsamples
2025-12-17 08:44:35.696 [info] [CursorProclistService] Sample 126 created: 26 processes, 31 subsamples
2025-12-17 08:49:35.696 [info] [CursorProclistService] Sample 127 created: 26 processes, 31 subsamples
2025-12-17 08:54:35.696 [info] [CursorProclistService] Sample 128 created: 26 processes, 31 subsamples
2025-12-17 08:59:35.696 [info] [CursorProclistService] Sample 129 created: 26 processes, 31 subsamples
2025-12-17 09:04:35.696 [info] [CursorProclistService] Sample 130 created: 26 processes, 31 subsamples
2025-12-17 09:09:35.715 [info] [CursorProclistService] Sample 131 created: 26 processes, 31 subsamples
2025-12-17 09:14:35.696 [info] [CursorProclistService] Sample 132 created: 26 processes, 31 subsamples
2025-12-17 09:19:35.697 [info] [CursorProclistService] Sample 133 created: 26 processes, 31 subsamples
2025-12-17 09:24:35.696 [info] [CursorProclistService] Sample 134 created: 26 processes, 31 subsamples
2025-12-17 09:29:35.695 [info] [CursorProclistService] Sample 135 created: 26 processes, 31 subsamples
2025-12-17 09:34:35.695 [info] [CursorProclistService] Sample 136 created: 26 processes, 31 subsamples
2025-12-17 09:39:35.696 [info] [CursorProclistService] Sample 137 created: 26 processes, 31 subsamples
2025-12-17 09:44:35.695 [info] [CursorProclistService] Sample 138 created: 26 processes, 31 subsamples
2025-12-17 09:49:35.695 [info] [CursorProclistService] Sample 139 created: 26 processes, 31 subsamples
2025-12-17 09:54:35.695 [info] [CursorProclistService] Sample 140 created: 26 processes, 31 subsamples
2025-12-17 09:59:35.716 [info] [CursorProclistService] Sample 141 created: 26 processes, 31 subsamples
2025-12-17 10:04:35.695 [info] [CursorProclistService] Sample 142 created: 26 processes, 31 subsamples
2025-12-17 10:09:35.696 [info] [CursorProclistService] Sample 143 created: 26 processes, 31 subsamples
2025-12-17 10:14:35.696 [info] [CursorProclistService] Sample 144 created: 26 processes, 31 subsamples
2025-12-17 10:19:35.696 [info] [CursorProclistService] Sample 145 created: 26 processes, 31 subsamples
2025-12-17 10:24:35.696 [info] [CursorProclistService] Sample 146 created: 26 processes, 31 subsamples
2025-12-17 10:29:35.715 [info] [CursorProclistService] Sample 147 created: 26 processes, 31 subsamples
2025-12-17 10:34:35.695 [info] [CursorProclistService] Sample 148 created: 26 processes, 31 subsamples
2025-12-17 10:39:35.696 [info] [CursorProclistService] Sample 149 created: 26 processes, 31 subsamples
2025-12-17 10:44:35.695 [info] [CursorProclistService] Sample 150 created: 26 processes, 31 subsamples
2025-12-17 10:49:35.696 [info] [CursorProclistService] Sample 151 created: 26 processes, 31 subsamples
2025-12-17 10:54:35.696 [info] [CursorProclistService] Sample 152 created: 26 processes, 31 subsamples
2025-12-17 10:59:35.695 [info] [CursorProclistService] Sample 153 created: 26 processes, 31 subsamples
2025-12-17 11:04:35.695 [info] [CursorProclistService] Sample 154 created: 26 processes, 31 subsamples
2025-12-17 11:09:35.695 [info] [CursorProclistService] Sample 155 created: 26 processes, 31 subsamples
2025-12-17 11:14:35.696 [info] [CursorProclistService] Sample 156 created: 26 processes, 31 subsamples
2025-12-17 11:19:35.714 [info] [CursorProclistService] Sample 157 created: 26 processes, 31 subsamples
2025-12-17 11:24:35.695 [info] [CursorProclistService] Sample 158 created: 26 processes, 31 subsamples
2025-12-17 11:29:35.696 [info] [CursorProclistService] Sample 159 created: 26 processes, 31 subsamples
2025-12-17 11:34:35.696 [info] [CursorProclistService] Sample 160 created: 26 processes, 31 subsamples
2025-12-17 11:39:35.695 [info] [CursorProclistService] Sample 161 created: 26 processes, 31 subsamples
2025-12-17 11:44:35.695 [info] [CursorProclistService] Sample 162 created: 26 processes, 31 subsamples
2025-12-17 11:49:35.695 [info] [CursorProclistService] Sample 163 created: 26 processes, 31 subsamples
2025-12-17 11:54:35.695 [info] [CursorProclistService] Sample 164 created: 26 processes, 31 subsamples
2025-12-17 11:59:35.695 [info] [CursorProclistService] Sample 165 created: 26 processes, 31 subsamples
2025-12-17 12:04:35.695 [info] [CursorProclistService] Sample 166 created: 26 processes, 31 subsamples
2025-12-17 12:09:35.695 [info] [CursorProclistService] Sample 167 created: 26 processes, 31 subsamples
2025-12-17 12:14:35.696 [info] [CursorProclistService] Sample 168 created: 26 processes, 31 subsamples
